user,sku,category,query,click_time,query_time
009d72922b916f3de4f0bebe99e7a4267de8648d,2173065,abcat0701002,Batman,53:40.3,53:23.2
009e5662ae36d7755004bd79a729cdcc1a423747,2107458,abcat0701002,Xbox turtlebeach,27:25.9,26:20.0
009f4fa03427057395fbc1dd5a57989c4d2380e3,2467183,abcat0701002,Gears if war,54:12.0,52:01.2
009fad80bc156dce879451ef7fed59099b864829,9291232,abcat0701002,Tekken 6,44:35.6,43:55.2
00a188197fd21b4f4068e604dd83ad45d88dc7cc,9902347,abcat0701002,Black ops,28:11.4,27:35.4
00a33a256dcaf82828b8c8cea0930628a26150a7,2107458,abcat0701002,Battlefield 3,26:56.9,25:42.8
00a9bf91c482448cd4310c402fae5bf16ca15115,2967045,abcat0701002,the darkness,34:10.0,33:15.5
00a9c9ebfcab28fe3c6e786d9606a93ff01d482b,2173065,abcat0701002,arkham city,29:04.8,28:21.6
00ae0d69ae7ea593ce898f48554b27b297b84491,2107458,abcat0701002,battlefield,34:35.8,34:29.9
00ae53b7b77a48271bb46c82a2fb005adc88bf20,2375195,abcat0701002,Madden,15:58.7,15:38.5
00aee39f6ebe77fa479f736fe61a6a5a29addfee,9984142,abcat0701002,Assassins creed,44:22.7,44:03.6
00b0dbad022c2bbc31b05496a6fdc2d4dd992244,3244621,abcat0701002,elder scrolls skyrim,20:17.9,17:21.4
00b28dd96a0a8990c2c3f501d67b30db6926c269,2375195,abcat0701002,Madden,00:05.0,59:30.4
00b2ec7d59b6c1801874b234fe1679d0c15a8d35,2903172,abcat0701002,minecraft,46:07.8,45:49.9
00b2f929bd66c39f00c0ff63ffd033cd007b50f8,9967476,abcat0701002,Test drive unlimited,13:48.3,13:17.8
00b3ad290c4f6ac691eee781f9e7252c8bcbfcc3,2633149,abcat0701002,rocksmith,05:17.3,05:06.3
00b3d8e3211714f6a4130bd3d56e911f5d47c225,2678578,abcat0701002,oblivion,33:50.2,33:43.5
00b3d8e3211714f6a4130bd3d56e911f5d47c225,2712876,abcat0701002,Catherine,34:29.3,34:15.7
00b3d8e3211714f6a4130bd3d56e911f5d47c225,3001046,abcat0701002,saints row,37:10.4,36:42.5
00b3f8eebfec8f50875c64d8f3544f0c571a221c,2758085,abcat0701002,dark souls,56:20.2,56:13.8
00b4d54475ddeaa998ac760e3d611db75701591c,2842757,abcat0701002,Once upon a monster,43:03.1,42:51.0
00b5041a470283d92a1353bb783b0e5564c2cabe,2173065,abcat0701002,Arkum city,37:21.9,35:37.1
00b5af3a40b28f44f9a72c9770924d4d50008659,1579138,abcat0701002,NBA jams,19:15.2,18:06.0
00b67c8f0b2c1adccf21b5d21ad3cd85319cec32,2633149,abcat0701002,Rocksmith,11:35.8,10:05.5
00b70da6f926e696d1d9be4d2a5f9adc185a0a14,2095189,abcat0701002,Elder scrolls,34:09.0,33:02.7
00b86ab329dff0af2e899c337fcb81d79b3b9ff3,3455398,abcat0701002,xbox elite,37:41.6,37:17.6
00b98884a7e5c3b916da20feaeaaaef8c3ca17f7,2704058,abcat0701002,fifa 2012,13:15.8,11:33.3
00bbd5b06bba64d00a02740988218f48dcf9dba7,1251132,abcat0701002,deus ex,28:05.7,24:33.9
00bbd5b06bba64d00a02740988218f48dcf9dba7,1251132,abcat0701002,deus ex,32:06.8,31:50.0
00bbd5b06bba64d00a02740988218f48dcf9dba7,2749041,abcat0701002,deus ex,33:55.1,31:50.0
00bdb4eb314adaf74a46ed2a37220ae80d1f003e,2095189,abcat0701002,skyrim,50:34.4,47:58.1
00bf2035254678ebc20335b4ea6e000f3f4ae1f9,2078113,abcat0701002,#,06:36.3,05:22.0
00bf2fd8d474da00e935a821306afebc31f5d823,1515341,abcat0701002,xbox360,58:30.3,56:03.9
00bf60bff23aac4e446ce508599865b61875b33c,2173065,abcat0701002,Arkham city,28:23.7,28:02.8
00c02fe40b8e53b3ec0bf24340b8a86b80be6736,2670133,abcat0701002,psp go,10:23.6,09:32.7
00c095fe2f61c3a76882be0849a0fb4f61c3b193,9902347,abcat0701002,Xbox360,41:21.1,40:58.2
00c37bec99375bcf3633c8123c5bf6866249c1e8,3455398,abcat0701002,xbox 360 elite,03:23.1,03:04.5
00c4b699a329724bc8816fa3716eeae2da20433a,2633149,abcat0701002,Rock smith,43:57.6,43:38.1
00c5c8451c11e7c30aebf9fc567a1259c3b5893b,1617038,abcat0701002,LaborDay_VideoGames_20110902,49:20.3,49:04.0
00c8909b8eae8524f7606a970c6255682a29575d,2670133,abcat0701002,Call of duty,13:38.9,13:14.7
00cb5ff3dc224963cfd3f295758f957b227ad8e6,2107458,abcat0701002,Battlefield 3,11:34.4,11:15.1
00cb84c3817e5e60b2e5a4fc362970278e6801a2,2802508,abcat0701002,just dance 3,57:54.4,57:29.6
00cc533073832e841327b47e43d0145ee10fc4f1,2704058,abcat0701002,fifa 12,42:40.5,42:25.9
00cc75f25f9c54c5958742ea069d1ceb91eaf796,9374134,abcat0701002,Red dead redemption,02:47.6,02:27.4
00cde34ae227928a044c0096a58527b14a327959,9854804,abcat0701002,gears of war,11:12.7,11:04.9
00ce80640e290b1355837d92ba1d8e2d7668481e,9441712,abcat0701002,Fallout,00:29.6,58:38.8
00ce80640e290b1355837d92ba1d8e2d7668481e,2670133,abcat0701002,Mw3,01:04.3,00:49.9
00cee972d275da3e0a404460e4e6d9355d9dc7be,1067848,abcat0701002,homefront,50:25.5,50:03.5
00d13cbdcf84c20157bf0e6a67efc4dc9e3c29fa,9854804,abcat0701002,gears of war,04:56.4,04:28.6
00d18e8119d119187e680c9d3776bfdf3145ee0f,2977637,abcat0701002,NBA 2k12,31:57.8,31:50.5
00d380639f9950c2e4636d0f0906a4c395961906,3455398,abcat0701002,xbox elite,45:06.0,44:22.9
00d461e9f5dfb964d50d6adb609ca0c3ffed29b6,2032076,abcat0701002,xbox 360,22:41.3,19:20.9
00d4b68d97df91de92ff626d9f7671d7c90ba468,7959033,abcat0701002,grand theft auto,43:35.2,42:42.9
00d53b5dceb4c340f8fdd8514e5f8c5995a056ee,3046603,abcat0701002,Arkham city,32:28.7,32:04.9
00d9c445046bac0ffcda85061e781e0e1664739a,2173065,abcat0701002,Batman,52:13.9,52:01.9
00dc50d5a4a07c9a364a0ef912a0538b623032e6,2678241,abcat0701002,Need for speed the run,05:35.9,05:18.6
00dc9ffc6306933ecbe8eb4f40d3bae35bf96a66,2769488,abcat0701002,disney universe,41:25.1,40:58.3
00dd00b6258b63035f1703764b5d654c09fa9023,2032076,abcat0701002,Gears of war,05:36.6,05:03.0
00e1be669e3ca8a905e2df111958eaa6dd959f1e,2107458,abcat0701002,battlefield 3,52:16.7,52:04.0
00e24917ac745e735487f39119aa1b4c0c3e43f6,9854804,abcat0701002,xbox,28:15.1,27:42.9
00e52e74a59726a1ccd9d4df6af75f3123eea5aa,2173065,abcat0701002,Batman city,50:01.3,49:49.9
00e70ae4a930f5466345380c6b4d9af03da045c4,9854804,abcat0701002,2371074 2126339 2126108,19:11.7,18:44.0
00e76771dc2cf396e41c07355d76217dc1f6a0f0,2945052,abcat0701002,Modern warfare 3 hardened,13:19.6,12:24.5
00e86c751e859bc5ea2bbcd83842b7d32d014299,1180104,abcat0701002,Kinect,13:24.9,11:09.3
00eb0eb1360339f5e16bd5611a67e4aa0704d836,9487067,abcat0701002,borderlands,14:49.1,14:32.2
00efa0338ba169d17e62dc569f060161ecf12ed1,2107458,abcat0701002,Battlefield,10:59.8,10:53.2
00f12bc66f3afd629678e0f8354a58fc357f669f,2945052,abcat0701002,Xbox360 kinect,28:27.7,26:33.6
00f12bc66f3afd629678e0f8354a58fc357f669f,2897116,abcat0701002,Xbox360 kinect,30:35.5,26:33.6
00f12bc66f3afd629678e0f8354a58fc357f669f,2897055,abcat0701002,Xbox360 kinect,31:13.9,26:33.6
00f1cf41e65e55b84630e1932b62ef269460fc3e,2802508,abcat0701002,Just dance,21:56.4,21:06.0
00f212a0acabfd393f4e90f64aa878f2f447ba85,3088387,abcat0701002,Marvel vs capcom,16:53.2,16:32.8
00f3863f775f890df6c15adbf6a22c8a584665d1,2755149,abcat0701002,Xbox,58:52.4,55:19.9
00f624f99ac9cfb5f8ae57adf99cba95265c3873,2670133,abcat0701002,Call of duty,56:44.5,55:56.1
00f65fcdcb683072ed47c055f9b8b5d5b7ee574a,2977637,abcat0701002,NBA 2K12,53:31.7,53:19.8
00f9a53564f276125843ff1414225bd0813497dc,9854804,abcat0701002,Gears of war,35:12.5,34:56.0
00fa7fa525a85af77c4648be82f6a1608d3eddc3,2945052,abcat0701002,modern warfare 3 hardened edition,36:07.8,35:48.8
00fbc1f1071215bcdc892f601e41e8ede5699f80,2945052,abcat0701002,call of duty,57:31.1,57:24.0
00ff2a5a536a666f575695a61ece251404a39c8d,7294661,abcat0701002,halo 3,44:55.6,44:15.9
00ff52dfaaeee4abc19718357c70c4c68c067e8b,2670133,abcat0701002,Xbox360 modern warfare 3,24:45.3,24:35.8
00ff817aa65c3b8a316d8872d9147f3b951b3262,3455398,abcat0701002,360 elite,58:24.8,58:16.6
01010563631dce4cae264c6ae94515e2f246e749,2248278,abcat0701002,transformers,05:36.6,04:57.9
01017564355f9aa6552ee9769321cbcc0c027f04,2807036,abcat0701002,NHL 12,36:35.6,36:25.4
0101cda9a87c61c09b6bd5ddcc7ed55f36f80a8e,9967476,abcat0701002,iPhone 4,38:55.0,34:43.0
0102a987654677b35cc20d06589a632fa3b13cf7,8878609,abcat0701002,midnigth club,08:06.1,06:16.3
010364505c51ceecc6c63636968870ff03a28032,2541184,abcat0701002,dead island,27:48.4,27:41.6
010364505c51ceecc6c63636968870ff03a28032,2173065,abcat0701002,batman,03:30.2,03:22.0
010364505c51ceecc6c63636968870ff03a28032,2107458,abcat0701002,battlefield,05:09.6,05:05.3
0103acdc8d2689be009285c2a1931f7a27ef8cd8,1251132,abcat0701002,Deus ex,59:04.8,58:52.6
0104f2560ef484e8b283eaf5f8e1083c1d065e01,9854804,abcat0701002,gears of war 3,44:54.5,44:49.9
010b22b0368763691b37efcd99e07acc3711c868,9854507,abcat0701002,halo reach edition,15:49.7,14:52.7
010b22b0368763691b37efcd99e07acc3711c868,2107458,abcat0701002,halo reach edition,17:08.9,14:52.7
010b8d80387af7339c7cbdf93a28b7a7330851c4,2842639,abcat0701002,rise of nightmares,55:37.7,55:18.0
010b8d80387af7339c7cbdf93a28b7a7330851c4,1515341,abcat0701002,zumba,08:33.1,08:26.3
010c8a8a77f4b316c61fba6f1f59dc918048d6fd,9854668,abcat0701002,Halo reach,33:04.0,31:49.3
010c8a8a77f4b316c61fba6f1f59dc918048d6fd,2856517,abcat0701002,Halo reach,34:51.1,31:49.3
010e9bf8f9d94ee19fd6772f6ab5ed5e2b3b96a6,2670133,abcat0701002,call of duty,44:14.0,43:18.9
01121a46e584bac053f8ef63e18c97c7890771e5,2467129,abcat0701002,Gears 3,07:48.3,05:09.6
0112c3e36182f6a660d0df9af53a6248e9aeda48,2842602,abcat0701002,Kinect boxing,29:28.2,26:43.5
0113f9638c7dbd387c6ae2636ef4bbb36a87dc4d,1981345,abcat0701002,Green lantern,38:43.5,38:26.1
0114b2c283abd84932c654f55fd1d1e2ec29f62a,2856517,abcat0701002,Halo,46:08.6,43:24.5
011677e8c4c873c546a8f5c784a61d6ad07d6712,1228939,abcat0701002,star fox,42:09.1,39:31.6
0117044a769cffe4d0225fd006410de0e7dfb844,9261014,abcat0701002,Mafia 2,22:06.5,21:04.7
01182378ec33f39484dec9500c95f60171b6678e,1180104,abcat0701002,Xbox,26:17.8,25:12.3
01194aa77c43090e2fa61bea90aff8be52c64c83,2467129,abcat0701002,gears of war,31:04.0,30:58.1
011ad82bba9796db701adf8e4f1ece86bb72e43b,1228939,abcat0701002,rage,19:09.2,18:44.7
011ad82bba9796db701adf8e4f1ece86bb72e43b,2330703,abcat0701002,saints row the third,01:58.1,01:24.6
011e78572a7ce11b4e0be5a938b01a86ac22bf2d,2802508,abcat0701002,Just dance 3 x box,20:15.2,20:12.1
011ead5d99ce9af7a0aaa3421d0d87324b7e946e,1012721,abcat0701002,Sims 3,18:28.9,18:15.1
012124faf22002e4a03f91a3cc409a24d3af358d,3455398,abcat0701002,Cabelas xbox,33:12.3,33:09.1
0123ca645cc10441922600bab44921d8210645d6,2541184,abcat0701002,Xbox 360 games,34:13.0,32:58.5
012414f0c7a09ed5a207ed936d0d1c83f3bf543b,2467129,abcat0701002,Gears of war 3,20:15.5,19:24.7
01247138f2ef24cf5fff765cf802f2bee92f9833,2541184,abcat0701002,xbox 360,04:01.3,03:53.3
0125131dad2bc407f15843ff5e92fbcc6d37f635,2541184,abcat0701002,dead island,46:25.6,45:52.4
01291bf58e11419a292191bcfcf7992df1e54ee3,2977637,abcat0701002,nba 2k12,49:24.1,47:39.5
012a8bb97b64d2f8141e8b79121f660d7b1941ef,2541184,abcat0701002,dead island,04:26.8,04:14.8
012ae1142fdd89c156816273eafa860c48735655,2945052,abcat0701002,computers,30:09.8,28:05.5
012c16ef3c970e18de2d494eb576dbd31c2a08f2,1404415,abcat0701002,Vanquish,02:29.0,00:47.0
012d53aab1bfdb28fd772622578189ddab428379,2945052,abcat0701002,Mw3 hardened,18:55.7,18:46.2
012fdc0eaf0e2fbc61da5d5105f2cccabcb48034,2842639,abcat0701002,Xbox 360,02:24.6,00:14.3
0135825dffe2c679f739d15909614fc8114666c0,2633103,abcat0701002,Rock smith,06:08.0,05:56.5
0136d89894fd8c8bc51aa81e6083f84df390f2e4,2671044,abcat0701002,x men destiny,04:14.2,03:44.7
01389addb7601d69cf04666c153000f11b680a05,9843708,abcat0701002,Lego Harry potter years 1-4 xbox 360,34:06.8,33:58.6
013a89c8535c82af36eec20c395354ec483ff8c0,2095189,abcat0701002,skyrim,11:30.9,10:57.0
013ba03273fcf71b3edd9ff3a0d8ac2461716241,3046603,abcat0701002,Dead island,11:09.1,07:37.6
0142ede3a683b22d81af60f5daa330f0167a2768,3021387,abcat0701002,Wwe 12,25:45.6,25:20.1
0147ffff902733c97f599ad7c2f5ea08887588c9,2541184,abcat0701002,dead island,22:54.6,22:44.2
014bc3fc57c4774bc1812380fc4c458e74f2caf8,2173065,abcat0701002,batman arkham city,30:44.5,29:53.0
014c6711ab99165089f3f30dd85da6a3222483be,2633103,abcat0701002,xbox 360 guitar game,08:59.3,05:05.8
014d12761e81fefb529c6ed1ca6f23ea12c992d8,2340293,abcat0701002,ncaa football 2012,51:59.0,51:11.9
0152146006d236f8b30e2a0f7e6334f6b62d5a52,1511584,abcat0701002,Grand theft auto,10:33.8,08:42.2
01533a389e2a87dbcde6d6b1d40c9b9a37b26e7a,9854804,abcat0701002,Gears of war 3,34:51.2,33:24.4
0155c45011caabf1c10c4c1f0d2396aa797cd61c,9854804,abcat0701002,2622037 2127204 2127213 2121716 2138291,17:22.4,14:03.1
0156bef7802acb5aecd8df05548b3cbbe35faf3c,2173065,abcat0701002,Batman,36:38.4,36:25.4
0156bef7802acb5aecd8df05548b3cbbe35faf3c,3046603,abcat0701002,Batman,39:19.6,36:25.4
01570677115ab88b2516aefadf366cb6d3d725e7,2467129,abcat0701002,Gears of War 3,12:28.9,11:43.2
01591a7b4196a01d6ef693bd0f003434b99c6518,9902347,abcat0701002,xbox 360,50:57.3,50:36.9
01599f5e1faa48f9e965a8ae046d00ea6dd650c8,2737083,abcat0701002,Dead rising 2,51:19.5,50:53.5
015ba666ca9feda7a063299327b113fc51e30174,2704058,abcat0701002,Xbox 360,32:37.7,32:09.5
015ba666ca9feda7a063299327b113fc51e30174,3166581,abcat0701002,Xbox 360,09:28.3,04:47.0
015ba666ca9feda7a063299327b113fc51e30174,2758085,abcat0701002,Xbox360,34:26.9,32:43.8
015ba666ca9feda7a063299327b113fc51e30174,1066551,abcat0701002,Wwe apostate,15:53.4,13:03.3
015c38b0a3cf6c233f2b13eae014d37450884bdd,2945052,abcat0701002,Modern warfare 3 hardened,00:17.7,00:16.7
015ff875976f0c3006937204c8500e0ed4100779,2953607,abcat0701002,Battlefield 3,42:23.9,40:05.8
015ff875976f0c3006937204c8500e0ed4100779,9461183,abcat0701002,Final fantasy 13,22:58.5,22:34.7
01612b39bcbbf9ccb8d88c11d6c8d0c9e5c77e98,2541184,abcat0701002,Dead island,53:08.1,52:54.5
